iter	Passed	Remaining
428	1700	2262
429	1704	2258
430	1707	2254
431	1711	2249
432	1714	2245
433	1718	2240
434	1722	2236
435	1725	2232
436	1729	2227
437	1732	2223
438	1736	2218
439	1739	2214
440	1743	2210
441	1747	2205
442	1750	2201
443	1754	2197
444	1758	2193
445	1762	2189
446	1766	2185
447	1771	2182
448	1775	2178
449	1778	2174
450	1783	2171
451	1788	2168
452	1792	2164
453	1796	2161
454	1801	2157
455	1805	2153
456	1809	2149
457	1812	2145
458	1816	2141
459	1820	2137
460	1824	2133
461	1828	2129
462	1832	2125
463	1836	2121
464	1840	2117
465	1844	2113
466	1847	2109
467	1852	2105
468	1856	2101
469	1860	2097
470	1864	2094
471	1869	2091
472	1873	2087
473	1878	2084
474	1882	2080
475	1888	2078
476	1892	2074
477	1896	2071
478	1903	2070
479	1908	2067
480	1912	2063
481	1916	2060
482	1920	2056
483	1924	2052
484	1928	2048
485	1934	2045
486	1938	2041
487	1942	2037
488	1946	2033
489	1950	2029
490	1954	2025
491	1957	2021
492	1962	2017
493	1966	2013
494	1970	2009
495	1973	2005
496	1977	2001
497	1981	1997
498	1985	1993
499	1989	1989
500	1993	1985
501	1997	1981
502	2001	1977
503	2005	1974
504	2009	1969
505	2013	1966
506	2017	1962
507	2021	1958
508	2026	1954
509	2030	1950
510	2034	1946
511	2038	1942
512	2042	1938
513	2046	1935
514	2050	1931
515	2055	1927
516	2059	1924
517	2063	1920
518	2067	1916
519	2071	1912
520	2076	1909
521	2080	1905
522	2084	1901
523	2088	1897
524	2093	1893
525	2097	1890
526	2101	1886
527	2105	1882
528	2110	1879
529	2114	1875
530	2119	1871
531	2123	1867
532	2127	1864
533	2131	1860
534	2135	1855
535	2140	1852
536	2144	1848
537	2148	1845
538	2153	1841
539	2157	1838
540	2161	1834
541	2166	1830
542	2170	1826
543	2175	1823
544	2179	1819
545	2183	1815
546	2187	1811
547	2192	1808
548	2196	1804
549	2200	1800
550	2205	1796
551	2209	1793
552	2213	1789
553	2217	1785
554	2222	1781
555	2226	1777
556	2230	1773
557	2234	1770
558	2239	1766
559	2244	1763
560	2248	1759
561	2253	1756
562	2257	1752
563	2261	1748
564	2265	1744
565	2269	1740
566	2274	1736
567	2278	1733
568	2282	1729
569	2287	1725
570	2291	1721
571	2295	1717
572	2298	1713
573	2303	1709
574	2307	1705
575	2311	1701
576	2315	1697
577	2319	1693
578	2323	1689
579	2327	1685
580	2331	1681
581	2335	1677
582	2339	1673
583	2343	1669
584	2347	1665
585	2351	1661
586	2355	1657
587	2360	1653
588	2364	1649
589	2368	1646
590	2372	1642
591	2376	1637
592	2380	1633
593	2384	1630
594	2388	1626
595	2392	1622
596	2396	1618
597	2401	1614
598	2405	1610
599	2409	1606
600	2413	1602
601	2417	1598
602	2421	1594
603	2425	1590
604	2429	1585
605	2433	1582
606	2438	1578
607	2442	1574
608	2446	1570
609	2450	1566
610	2454	1562
611	2458	1558
612	2462	1554
613	2467	1551
614	2471	1547
615	2475	1543
616	2480	1539
617	2484	1535
618	2488	1531
619	2492	1527
620	2496	1523
621	2501	1520
622	2505	1516
623	2509	1512
624	2513	1508
625	2517	1504
626	2521	1500
627	2525	1496
628	2530	1492
629	2534	1488
630	2538	1484
631	2542	1480
632	2546	1476
633	2550	1472
634	2554	1468
635	2559	1464
636	2563	1460
637	2567	1456
638	2571	1452
639	2576	1449
640	2580	1445
641	2584	1441
642	2588	1437
643	2593	1433
644	2597	1429
645	2601	1425
646	2605	1421
647	2609	1417
648	2613	1413
649	2617	1409
650	2621	1405
651	2625	1401
652	2629	1397
653	2633	1393
654	2637	1389
655	2642	1385
656	2646	1381
657	2650	1377
658	2654	1373
659	2658	1369
660	2662	1365
661	2666	1361
662	2670	1357
663	2675	1353
664	2679	1349
665	2683	1345
666	2687	1341
667	2691	1337
668	2695	1333
669	2699	1329
670	2703	1325
671	2708	1322
672	2714	1318
673	2718	1314
674	2724	1311
675	2729	1308
676	2734	1304
677	2741	1301
678	2745	1298
679	2750	1294
680	2755	1290
681	2759	1286
682	2763	1282
683	2768	1278
684	2773	1275
685	2777	1271
