iter	Logloss
0	0.6926439276
1	0.6923983213
2	0.6923129529
3	0.6919906477
4	0.6917274739
5	0.6914134549
6	0.691073902
7	0.6906069646
8	0.6903998688
9	0.6902590722
10	0.690009651
11	0.6897579066
12	0.6894204133
13	0.689200111
14	0.6889513819
15	0.6884493219
16	0.6882192947
17	0.687996116
18	0.6877082565
19	0.6875206655
20	0.6872604049
21	0.687054966
22	0.6866291337
23	0.6862595045
24	0.6860569905
25	0.6858576871
26	0.6856498178
27	0.6853454078
28	0.6851133406
29	0.6849884866
30	0.6847794173
31	0.6844247865
32	0.6841237076
33	0.6839789771
34	0.6837699917
35	0.6834408878
36	0.6832483479
37	0.6829542727
38	0.6827354891
39	0.6825067459
40	0.6822355837
41	0.6820181963
42	0.681821546
43	0.6815270511
44	0.681342926
45	0.6811718428
46	0.6808889819
47	0.6806429277
48	0.6804300179
49	0.6802024149
50	0.679871588
51	0.6796528546
52	0.6793735368
53	0.6792025595
54	0.6788660717
55	0.6787508418
56	0.678499146
57	0.6782279057
58	0.6781387953
59	0.6778512702
60	0.6776775391
61	0.6774874873
62	0.6772705465
63	0.6770920984
64	0.6768546768
65	0.6765941919
66	0.6762112209
67	0.67599712
68	0.6757417214
69	0.6754907949
70	0.6752175329
71	0.6749236946
72	0.6746455189
73	0.674422034
74	0.6741308126
75	0.6739339889
76	0.6738817561
77	0.6736189646
78	0.6733498619
79	0.6730737039
80	0.6727356439
81	0.6725840698
82	0.6723375693
83	0.6720923697
84	0.671921002
85	0.6717039896
86	0.6715524052
87	0.6713270525
88	0.67116733
89	0.6708510508
90	0.6705742456
91	0.6702700316
92	0.6699521402
93	0.6698173894
94	0.6695130273
95	0.6692768053
96	0.6691484391
97	0.6690176306
98	0.6688509245
99	0.668598507
100	0.6683306511
101	0.6681504365
102	0.6679098353
103	0.667808222
104	0.6677295095
105	0.6674971438
106	0.6672753635
107	0.6670700898
108	0.6668028573
109	0.6665985883
110	0.6663440869
111	0.6661428326
112	0.6659511853
113	0.6657836649
114	0.6656479746
115	0.6654368084
116	0.6652633169
117	0.6650871914
118	0.6649268413
119	0.6647097903
120	0.664513414
121	0.6643532097
122	0.6641056322
123	0.6639238945
124	0.6636771962
125	0.663490181
126	0.6632752469
127	0.6630149697
128	0.6627288498
129	0.6624245138
130	0.6622178963
131	0.6619630327
132	0.6616449246
133	0.6615220983
134	0.6613085666
135	0.6610477334
136	0.6608740204
137	0.6606978992
138	0.6604748168
139	0.6602406631
140	0.660089884
141	0.6597386813
142	0.6595710596
143	0.6593250642
144	0.6590537727
145	0.6588646068
146	0.6586119747
147	0.6583987327
148	0.658225356
149	0.6580757346
150	0.6579333587
151	0.6576844446
152	0.6575271694
153	0.65730764
154	0.6571767209
155	0.6569533803
156	0.6568187752
157	0.6566137038
158	0.6563360858
159	0.6561797712
160	0.6558974467
161	0.6556282339
162	0.6554811546
163	0.6552665069
164	0.6550672708
165	0.6548091002
166	0.654624449
167	0.6544515225
168	0.654300441
169	0.654181018
170	0.6539857353
171	0.6537893386
172	0.6536395118
173	0.653473061
174	0.6533388411
175	0.6531032106
176	0.652910062
177	0.6527987731
178	0.6526805325
179	0.6524642661
180	0.6522185536
181	0.652074267
182	0.6518692595
183	0.6516121245
184	0.6513412539
185	0.6511545165
186	0.6509850455
187	0.6509317396
188	0.6507579148
189	0.6505463433
190	0.6503697983
191	0.650122492
192	0.6500107657
193	0.6498882714
194	0.6497234118
195	0.6495663402
196	0.6494373793
197	0.6493047097
198	0.649044691
199	0.6488886016
200	0.648679407
201	0.6484927246
202	0.6482722562
203	0.6480976861
204	0.6479683416
205	0.6479365137
206	0.6477308912
207	0.6475714447
208	0.6473952699
209	0.6472284788
210	0.6468987754
211	0.6467497345
212	0.6465671206
213	0.6462223582
214	0.6460611585
215	0.6458752663
216	0.6457093355
217	0.6455485239
218	0.6454475538
219	0.6452510684
220	0.6450174723
221	0.6447584243
222	0.6445825909
223	0.6444299449
224	0.6442566391
225	0.6441143677
226	0.6439018953
227	0.6437371608
228	0.6435360081
229	0.6432981484
230	0.6431437854
231	0.6429596219
232	0.642862791
233	0.6427278496
234	0.6425121529
235	0.6422668448
236	0.6420334805
237	0.6418979078
238	0.6418420527
239	0.641650274
240	0.6415273637
241	0.6413270391
242	0.6411732789
243	0.6410362452
244	0.6409454651
245	0.6407979739
246	0.6406780311
247	0.6405017264
248	0.6402571315
249	0.6400977606
250	0.6399856459
251	0.6397752674
252	0.6397263201
253	0.6395516247
254	0.6394178966
255	0.6393113213
256	0.6391938628
257	0.6390241164
258	0.6389197432
259	0.6387443499
260	0.6386514786
261	0.6384156675
262	0.6382573462
263	0.6380504293
264	0.6379022439
265	0.6376724396
266	0.637428942
267	0.6371849123
268	0.6370508588
269	0.6369264366
270	0.6368646893
271	0.6365585123
272	0.6364092281
273	0.6362245104
274	0.6359221865
275	0.6357628507
276	0.6356264382
277	0.6354150968
278	0.6351592485
279	0.635089934
280	0.6349345752
281	0.6347580995
282	0.6346282154
283	0.6343325201
284	0.6341801764
285	0.6340705595
286	0.6338717586
287	0.6337427049
288	0.6336216633
289	0.6334084949
290	0.6332601083
291	0.6329604548
292	0.6327171867
293	0.6325907846
294	0.6324403494
295	0.6323253009
296	0.6320804949
297	0.6319023141
298	0.6317689344
299	0.6316002802
300	0.6314248787
301	0.6312355322
302	0.6311910255
303	0.6310599372
304	0.6308256181
305	0.6305810908
306	0.6304440052
307	0.6303248515
308	0.6302460577
309	0.6301383178
310	0.6300330022
311	0.6298218891
312	0.629634551
313	0.6293922452
314	0.6291580281
315	0.6289209821
316	0.6287220975
317	0.6284986886
318	0.6282921807
319	0.6281044361
320	0.6280256473
321	0.6278824524
322	0.62769981
323	0.6274535233
324	0.6272419792
325	0.6270399146
